2019-12-07 09:51:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:51:02 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:51:02 同步部门 任务开始
2019-12-07 09:51:02 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:51:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:51:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:51:23 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:51:23 同步部门 任务开始
2019-12-07 09:51:23 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:51:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:51:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:51:44 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:51:44 同步部门 任务开始
2019-12-07 09:51:44 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:51:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:52:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:52:06 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:52:06 同步部门 任务开始
2019-12-07 09:52:06 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:52:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:52:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:52:27 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:52:27 同步部门 任务开始
2019-12-07 09:52:27 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:52:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:52:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:52:48 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:52:48 同步部门 任务开始
2019-12-07 09:52:48 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:52:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:53:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:53:09 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:53:10 同步部门 任务开始
2019-12-07 09:53:10 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:53:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:53:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:53:31 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:53:31 同步部门 任务开始
2019-12-07 09:53:31 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:53:40 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:53:50 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:53:52 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:53:52 同步部门 任务开始
2019-12-07 09:53:52 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:54:00 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:54:10 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:54:13 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:54:13 同步部门 任务开始
2019-12-07 09:54:14 同步部门 新中新小一卡通临时表创建成功
2019-12-07 09:54:20 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:54:30 同步部门 【同步部门】相同任务或其它互斥任务正在执行，当前任务加入等待列表!
2019-12-07 09:54:35 同步部门 [加读锁失败]无法连接到远程服务器
2019-12-07 09:54:35 同步部门 任务开始
2019-12-07 09:54:35 同步部门 新中新小一卡通临时表创建成功
